theta_1,theta_2,theta_3,theta_4
20,120,84,12
5,48,72,60
115,12,60,48
70,36,96,60
100,108,120,0
115,120,0,36
110,60,72,12
85,120,0,120
95,96,96,0
85,120,120,60
35,60,36,0
40,108,84,12
100,0,12,0
50,48,84,0
100,24,72,48
85,60,36,12
25,84,72,48
50,120,96,12
20,120,12,84
65,96,12,72
15,36,36,0
80,48,84,60
120,120,0,84
15,60,96,0
40,120,0,108
30,96,108,12
35,36,12,0
50,120,12,120
50,120,24,96
90,72,24,0
105,108,36,72
120,108,24,0
80,36,12,0
70,24,24,0
45,96,96,0
50,120,0,60
5,48,108,36
65,84,120,108
40,72,72,12
15,60,96,12
80,120,24,72
95,84,48,12
20,96,84,0
0,0,12,0
120,120,36,108
55,108,0,120
30,84,60,12
70,96,120,12
115,96,96,36
10,72,36,12
95,120,120,60
60,60,84,48
95,120,24,72
85,120,72,0
60,84,12,0
105,72,96,0
55,72,96,12
40,120,12,36
40,120,60,72
95,108,84,36
120,96,36,0
60,72,96,0
10,48,48,0
15,84,120,0
20,36,24,0
85,120,0,60
105,96,12,84
50,96,96,0
100,120,60,108
70,48,84,48
45,84,36,0
45,120,24,120
15,120,120,48
40,84,12,0
30,108,96,36
105,96,72,60
105,24,24,12
65,108,12,120
60,96,84,60
110,84,96,36
35,120,36,72
115,120,120,0
10,108,12,60
100,96,72,0
30,60,72,0
115,96,84,48
120,96,0,120
40,120,60,120
65,108,24,72
20,48,84,60
30,36,24,0
110,96,84,0
60,120,108,12
20,84,24,12
20,120,96,12
80,84,72,36
15,60,84,0
120,48,108,36
50,84,84,12
95,120,12,84
5,96,72,12
60,96,24,84
110,84,120,12
120,72,108,0
35,120,12,72
10,96,120,108
20,120,48,48
65,120,12,84
40,36,36,0
105,108,12,96
110,84,84,60
120,108,48,84
5,48,72,0
25,120,60,96
25,96,84,12
110,96,60,0
35,84,48,0
50,120,24,60
120,120,120,108
5,108,84,12
70,120,12,120
40,60,60,0
120,24,96,72
95,120,72,0
60,24,72,48
85,108,96,0
60,60,84,12
15,120,24,108
65,120,0,84
45,72,96,36
80,108,12,108
35,120,0,84
75,120,48,60
110,108,24,84
35,72,84,12
30,108,12,108
80,96,48,0
85,60,96,0
80,108,120,0
60,120,120,72
40,72,72,36
120,120,108,96
10,48,60,12
65,96,84,0
75,96,96,60
0,120,72,96
40,48,84,60
95,108,120,0
35,36,60,0
95,12,12,0
110,120,48,84
75,72,12,0
30,24,24,0
35,96,120,12
95,84,36,0
85,48,72,36
5,84,72,0
0,120,120,60
100,96,96,60
120,96,72,60
30,108,108,0
15,24,96,72
35,36,72,12
100,48,72,12
10,96,96,60
40,48,72,0
90,84,36,0
50,120,0,48
0,108,96,12
25,120,84,12
5,48,96,60
95,120,0,12
45,84,96,60
105,60,36,12
110,72,120,12
25,120,36,48
55,96,72,48
15,120,48,96
120,120,96,0
90,120,12,108
85,36,84,36
30,72,84,60
25,120,12,48
55,96,36,12
35,120,96,48
30,36,36,0
105,96,12,120
5,84,96,0
15,108,12,60
70,108,48,96
20,24,84,60
55,84,36,12
10,48,96,60
10,60,36,12
0,72,72,36
25,108,36,72
115,72,12,0
70,84,84,12
105,36,24,0
120,72,24,0
15,60,60,12
95,12,36,12
35,72,72,12
20,108,96,36
75,84,72,36
55,84,72,36
80,120,72,120
55,36,36,12
120,96,84,0
85,96,120,12
45,108,96,12
5,48,60,0
20,96,72,48
25,120,24,72
10,84,48,0
60,120,108,0
30,108,96,12
0,48,72,12
120,48,96,60
95,96,72,12
110,96,36,12
80,72,24,12
35,108,24,72
115,24,24,0
55,24,36,12
100,84,96,36
85,36,84,60
30,84,72,36
70,96,72,60
45,84,60,12
95,120,12,120
100,24,36,12
10,96,12,72
55,108,60,12
60,72,36,0
105,84,120,12
115,120,96,12
55,84,120,12
35,120,84,12
40,108,96,60
55,72,120,0
60,108,48,0
60,108,108,12
10,36,84,48
40,108,120,12
80,96,84,60
105,108,48,0
35,96,84,60
60,84,72,60
35,120,96,0
120,12,36,12
50,48,84,36
25,120,0,96
85,84,120,120
95,84,108,0
10,48,24,12
65,60,48,0
25,60,84,12
40,24,24,0
15,120,36,120
90,36,84,60
70,120,120,60
110,120,24,60
105,96,84,48
110,84,108,0
105,60,36,0
90,120,108,48
55,72,48,0
45,60,96,36
0,108,12,96
45,72,72,60
120,120,12,36
85,72,108,0
30,24,72,48
20,84,120,12
90,108,24,84
110,48,84,48
45,36,24,12
75,72,48,0
10,84,72,36
75,108,36,96
105,48,72,48
30,120,24,108
100,48,72,60
105,96,120,108
115,48,60,12
110,108,36,72
110,36,96,60
90,108,12,108
120,120,24,72
30,36,48,12
0,60,36,0
40,60,96,60
35,48,48,0
40,72,36,0
110,24,72,60
75,120,12,48
0,72,108,0
110,24,48,0
100,72,84,60
35,84,60,0
35,120,36,84
100,84,36,12
60,120,36,60
55,60,72,48
115,108,84,36
110,96,96,36
90,120,72,12
120,48,36,12
30,48,48,0
0,24,24,12
110,60,96,12
115,96,72,36
95,72,72,12
90,36,36,12
15,84,0,120
110,24,36,12
5,96,84,36
40,0,12,0
10,120,12,84
65,60,108,12
100,108,0,120
100,12,36,12
70,24,36,12
60,96,108,0
80,108,108,12
10,120,12,96
100,84,96,12
115,120,24,120
85,120,12,0
60,72,96,12
50,96,84,60
80,72,84,0
30,84,84,48
85,120,12,36
20,36,84,60
35,84,120,108
40,120,72,120
110,108,72,12
70,84,120,120
115,120,36,72
10,84,36,12
40,96,84,48
0,96,12,72
75,96,72,48
80,36,84,36
10,24,96,72
85,96,84,0
115,48,96,60
90,48,72,48
110,96,24,84
90,120,0,24
5,36,84,36
20,120,12,0
25,72,36,0
55,120,0,96
40,36,96,60
5,120,0,96
105,84,36,0
50,72,96,0
10,60,48,12
100,60,36,12
10,72,60,0
15,60,72,60
115,84,48,12
90,36,72,12
30,120,48,72
0,36,72,12
90,108,36,84
55,120,72,0
80,60,72,12
65,48,72,0
70,120,120,48
5,60,48,12
30,36,84,48
25,72,120,120
25,120,36,108
90,60,36,12
100,84,72,0
30,120,0,0
90,36,12,0
75,108,72,12
55,60,12,0
0,24,24,0
100,84,72,12
75,60,24,0
60,108,36,84
75,120,36,60
105,108,84,0
60,36,36,0
115,120,24,72
55,36,24,12
5,108,96,36
90,96,96,0
55,36,84,36
120,120,72,72
105,24,12,0
55,84,84,0
50,24,48,12
45,96,72,48
0,96,108,0
95,48,36,0
100,60,84,60
105,120,48,48
10,96,120,120
115,96,72,12
30,36,84,36
20,120,48,120
40,72,108,0
105,120,120,12
50,24,12,0
120,108,36,84
0,120,48,48
10,120,24,84
45,120,36,36
25,60,96,60
35,120,12,108
110,84,72,36
30,120,36,96
20,108,120,12
30,108,24,84
60,96,12,120
105,60,108,12
5,96,48,12
95,84,48,0
30,48,96,60
0,120,108,12
120,108,120,120
45,120,12,12
50,60,72,60
95,12,60,48
100,120,36,60
100,60,48,12
115,120,48,120
115,72,84,0
55,96,96,0
100,84,120,0
75,108,84,36
110,108,12,108
110,84,60,0
20,84,60,12
45,36,72,12
120,84,96,0
90,48,24,12
55,48,108,36
55,84,84,36
25,84,120,0
30,12,12,0
90,108,96,60
15,36,84,36
100,84,48,0
25,60,108,12
