mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_activation,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
19.55700922012329,4.973401784896851,0.01602756977081299,0.00401914119720459,"(150, 200, 300, 150)",tanh,"{'hidden_layer_sizes': (150, 200, 300, 150), 'activation': 'tanh'}",-0.009007395698673789,-0.005127796470953666,-0.007067596084813728,0.0019397996138600612,440,-0.008419833439313901,-0.004506869738481231,-0.006463351588897566,0.001956481850416335
6.059555172920227,0.07086288928985596,0.002050042152404785,5.614757537841797e-05,"(120, 310)",relu,"{'hidden_layer_sizes': (120, 310), 'activation': 'relu'}",-0.005981559908634293,-0.00756321622225578,-0.006772388065445036,0.0007908281568107436,394,-0.005638956687691918,-0.0067664301106194775,-0.006202693399155698,0.0005637367114637798
12.03665316104889,0.3452187776565552,0.01503443717956543,2.6702880859375e-05,"(125, 175, 200)",tanh,"{'hidden_layer_sizes': (125, 175, 200), 'activation': 'tanh'}",-0.01139243675697997,-0.010639053120908673,-0.011015744938944323,0.00037669181803564895,965,-0.010964460673198128,-0.009684483465014677,-0.010324472069106402,0.0006399886040917256
14.281116247177124,1.644101858139038,0.009827494621276855,0.00572049617767334,"(330, 110)",tanh,"{'hidden_layer_sizes': (330, 110), 'activation': 'tanh'}",-0.009463444431932682,-0.010473097338425278,-0.00996827088517898,0.000504826453246298,833,-0.008710554531730915,-0.009200808468241567,-0.00895568149998624,0.00024512696825532577
20.186915397644043,3.700423240661621,0.014499187469482422,0.006491422653198242,"(150, 100, 300, 200)",tanh,"{'hidden_layer_sizes': (150, 100, 300, 200), 'activation': 'tanh'}",-0.007963244044061374,-0.011195391895624938,-0.009579317969843156,0.001616073925781782,770,-0.007357039755155573,-0.010318884029333071,-0.008837961892244322,0.0014809221370887492
4.706632137298584,0.6041855812072754,0.0015952587127685547,0.0005977153778076172,"(110, 250)",relu,"{'hidden_layer_sizes': (110, 250), 'activation': 'relu'}",-0.005105734349151569,-0.006985179462425235,-0.006045456905788402,0.0009397225566368326,278,-0.00432810358649667,-0.0058932113111441215,-0.005110657448820395,0.000782553862323726
8.904745817184448,3.142280340194702,0.05918002128601074,0.004119396209716797,"(2965,)",tanh,"{'hidden_layer_sizes': (2965,), 'activation': 'tanh'}",-0.4659191566259511,-0.45014651902758,-0.45803283782676557,0.007886318799185554,1256,-0.46199075259482764,-0.4657642834801446,-0.4638775180374861,0.001886765442658478
7.578022480010986,0.39317989349365234,0.0030881166458129883,0.0009199380874633789,"(560,)",relu,"{'hidden_layer_sizes': (560,), 'activation': 'relu'}",-0.0097516823284679,-0.011026682160609739,-0.01038918224453882,0.0006374999160709193,888,-0.008774107402118878,-0.009926012962966088,-0.009350060182542483,0.0005759527804236053
37.19498896598816,34.667232275009155,0.05329108238220215,0.0007491111755371094,"(1575,)",tanh,"{'hidden_layer_sizes': (1575,), 'activation': 'tanh'}",-0.4666235707974022,-0.035695241277895,-0.2511594060376486,0.2154641647597536,1238,-0.4623790765391359,-0.035443183031418704,-0.2489111297852773,0.2134679467538586
16.430572867393494,0.24454796314239502,0.01672828197479248,0.001185774803161621,"(300, 150, 250, 100)",tanh,"{'hidden_layer_sizes': (300, 150, 250, 100), 'activation': 'tanh'}",-0.006982147119562476,-0.007951804116837517,-0.007466975618199997,0.00048482849863752025,492,-0.00601029118987607,-0.007102614589200506,-0.006556452889538288,0.0005461616996622182
22.999529719352722,2.9529320001602173,0.011501312255859375,0.004498481750488281,"(200, 250, 300)",tanh,"{'hidden_layer_sizes': (200, 250, 300), 'activation': 'tanh'}",-0.007323280230481794,-0.009751320801662805,-0.008537300516072299,0.0012140202855905054,627,-0.006543415468085881,-0.00872438297638059,-0.007633899222233236,0.0010904837541473545
12.557398319244385,1.4268701076507568,0.014210104942321777,0.001693129539489746,"(200, 150, 250)",tanh,"{'hidden_layer_sizes': (200, 150, 250), 'activation': 'tanh'}",-0.012950386506324001,-0.01100089463359966,-0.01197564056996183,0.0009747459363621709,1043,-0.012165396221005766,-0.009959588287425877,-0.011062492254215822,0.0011029039667899447
